2					1
3					0
5					0
6					1
9					2
11					1
12					1
13					0
14					0
15					1
16					1
18					0
19					0
20					0
21					0
22					0
23					0
25					1
26					1
27					0
29					1
30					0
31					1
32					0
33					0
34					0
36					0
37					1
38					0
39					0
40					1
42					0
43					0
44					0
45					0
46					0
48					0
49					0
50					1
51					0
52					0
54					0
55					0
58					1
59					0
65					0
67					0
69					0
71					0
72					1
75					1
78					0
79					0
82					1
83					0
85					1
86					0
89					0
91					1
93					1
95					0
96					0
98					0
101					1
107					0
108					0
109					0
112					0
114					1
120					1
122					0
123					1
126					1
127					0
128					0
129					0
132					1
134					0
138					0
142					1
143					2
144					1
145					0
148					0
149					1
151					0
152					0
153					1
154					0
155					1
158					1
162					1
167					0
170					0
171					0
173					1
176					0
177					0
181					0
185					0
191					0
196					1
197					0
200					0
201					0
203					0
204					0
210					1
214					0
215					0
216					0
217					1
221					0
226					1
230					0
231					0
232					0
233					1
235					0
236					1
238					0
239					0
240					0
241					1
243					1
245					1
247					0
248					0
249					1
250					0
251					0
256					1
259					0
260					1
261					0
264					0
265					0
266					1
268					0
271					0
273					0
276					0
281					0
284					0
285					0
287					0
288					0
291					0
294					0
298					0
